Код покупателя	Артикул	Количество	Дата
Клиент-158	Арт25	9	06.05.2018
Клиент-52	Арт1	7	18.06.2018
Клиент-19	Арт23	8	18.12.2017
Клиент-81	Арт8	6	24.08.2017
Клиент-102	Арт9	8	12.10.2017
Клиент-19	Арт15	1	21.10.2017
Клиент-4	Арт7	10	21.12.2017
Клиент-34	Арт11	1	26.03.2018
Клиент-89	Арт23	9	14.08.2017
Клиент-154	Арт11	5	22.02.2018
Клиент-176	Арт21	7	29.12.2017
Клиент-27	Арт2	1	26.09.2017
Клиент-115	Арт9	5	25.07.2018
Клиент-103	Арт11	9	28.06.2017
Клиент-57	Арт3	2	19.09.2018
Клиент-165	Арт14	5	19.07.2017
Клиент-10	Арт24	4	02.08.2017
Клиент-145	Арт1	5	10.11.2017
Клиент-181	Арт5	6	26.05.2018
Клиент-33	Арт18	8	03.07.2017
Клиент-21	Арт24	3	18.06.2017
Клиент-63	Арт16	6	03.04.2018
Клиент-36	Арт11	9	21.05.2018
Клиент-57	Арт6	3	01.03.2017
Клиент-186	Арт21	5	13.08.2018
Клиент-120	Арт15	6	11.01.2017
Клиент-11	Арт11	3	21.08.2018
Клиент-127	Арт4	3	08.02.2017
Клиент-34	Арт10	8	19.06.2018
Клиент-160	Арт1	8	29.04.2018
Клиент-173	Арт12	10	16.09.2017
Клиент-79	Арт6	4	11.05.2017
Клиент-197	Арт17	1	12.05.2018
Клиент-174	Арт18	8	12.04.2018
Клиент-39	Арт22	1	01.09.2017
Клиент-142	Арт15	8	29.08.2017
Клиент-51	Арт15	10	12.04.2017
Клиент-4	Арт11	3	15.01.2018
Клиент-153	Арт26	4	13.07.2018
Клиент-42	Арт5	10	12.07.2017
Клиент-12	Арт21	4	06.02.2018
Клиент-180	Арт23	6	02.09.2017
Клиент-82	Арт24	3	16.05.2018
Клиент-19	Арт10	6	14.08.2017
Клиент-194	Арт20	6	20.09.2018
Клиент-17	Арт1	5	03.07.2018
Клиент-88	Арт12	8	04.08.2017
Клиент-18	Арт12	6	19.07.2017
Клиент-171	Арт25	8	02.02.2018
Клиент-119	Арт6	9	23.10.2017
Клиент-48	Арт2	7	26.03.2017
Клиент-20	Арт6	4	30.09.2018
Клиент-125	Арт24	4	19.03.2018
Клиент-51	Арт14	1	08.01.2018
Клиент-124	Арт16	10	01.10.2017
Клиент-116	Арт12	1	19.04.2017
Клиент-29	Арт16	1	19.02.2018
Клиент-23	Арт9	2	19.02.2018
Клиент-161	Арт23	2	25.02.2017
Клиент-35	Арт15	3	06.02.2017
Клиент-155	Арт16	8	18.11.2017
Клиент-54	Арт10	5	25.01.2017
Клиент-98	Арт6	5	27.05.2018
Клиент-191	Арт5	3	11.09.2018
Клиент-16	Арт8	6	23.07.2018
Клиент-128	Арт10	7	02.09.2017
Клиент-167	Арт25	8	16.05.2017
Клиент-174	Арт2	3	29.03.2017
Клиент-55	Арт8	9	01.02.2017
Клиент-198	Арт26	5	22.06.2017
Клиент-129	Арт1	8	12.01.2018
Клиент-2	Арт12	5	25.02.2017
Клиент-131	Арт5	7	31.08.2017
Клиент-177	Арт7	7	01.04.2017
Клиент-152	Арт2	3	27.06.2018
Клиент-192	Арт10	10	28.06.2018
Клиент-200	Арт16	8	11.05.2018
Клиент-42	Арт23	5	11.09.2018
Клиент-189	Арт18	10	17.12.2017
Клиент-9	Арт18	4	29.01.2018
Клиент-73	Арт24	10	16.01.2017
Клиент-64	Арт6	3	08.05.2017
Клиент-168	Арт18	6	10.12.2017
Клиент-7	Арт24	7	30.03.2018
Клиент-73	Арт11	1	21.05.2017
Клиент-13	Арт17	7	02.08.2018
Клиент-142	Арт2	7	30.03.2017
Клиент-139	Арт19	5	23.08.2018
Клиент-29	Арт1	10	24.02.2017
Клиент-37	Арт2	8	06.03.2017
Клиент-118	Арт19	8	11.06.2017
Клиент-37	Арт18	7	09.05.2017
Клиент-129	Арт10	2	07.06.2017
Клиент-197	Арт20	10	18.01.2018
Клиент-135	Арт21	7	28.08.2018
Клиент-163	Арт13	8	09.09.2017
Клиент-176	Арт20	5	29.08.2017
Клиент-177	Арт26	3	25.10.2017
Клиент-143	Арт18	8	24.02.2017
Клиент-181	Арт5	3	01.07.2017
Клиент-185	Арт19	2	22.02.2017
Клиент-150	Арт1	8	27.11.2017
Клиент-87	Арт24	3	20.11.2017
Клиент-180	Арт19	1	03.07.2017
Клиент-118	Арт6	6	19.02.2018
Клиент-80	Арт8	4	28.08.2017
Клиент-147	Арт5	3	22.11.2017
Клиент-81	Арт25	2	22.10.2017
Клиент-114	Арт17	6	17.08.2018
Клиент-120	Арт21	1	01.12.2017
Клиент-151	Арт20	6	13.06.2017
Клиент-66	Арт6	10	31.08.2018
Клиент-168	Арт10	5	24.05.2017
Клиент-90	Арт13	9	05.03.2017
Клиент-138	Арт20	1	11.05.2017
Клиент-171	Арт9	7	30.01.2018
Клиент-190	Арт2	10	10.02.2017
Клиент-199	Арт25	3	16.05.2017
Клиент-3	Арт3	5	07.11.2017
Клиент-4	Арт15	6	23.09.2017
Клиент-67	Арт23	1	27.02.2017
Клиент-189	Арт26	2	15.08.2018
Клиент-101	Арт17	5	13.04.2018
Клиент-121	Арт18	1	05.01.2017
Клиент-42	Арт12	1	25.02.2017
Клиент-17	Арт15	9	24.07.2017
Клиент-194	Арт17	3	08.09.2017
Клиент-33	Арт24	9	28.03.2017
Клиент-175	Арт18	2	20.04.2017
Клиент-175	Арт26	8	15.11.2017
Клиент-18	Арт5	8	01.08.2017
Клиент-90	Арт24	9	24.07.2018
Клиент-116	Арт15	5	07.05.2017
Клиент-51	Арт20	5	06.09.2017
Клиент-74	Арт13	9	09.11.2017
Клиент-137	Арт17	7	27.08.2018
Клиент-164	Арт25	1	14.02.2017
Клиент-185	Арт17	6	05.04.2017
Клиент-66	Арт22	1	21.09.2017
Клиент-97	Арт11	7	14.10.2017
Клиент-89	Арт10	8	01.03.2018
Клиент-144	Арт1	6	08.08.2017
Клиент-120	Арт18	5	24.03.2018
Клиент-1	Арт13	2	20.11.2017
Клиент-65	Арт25	8	27.09.2017
Клиент-118	Арт12	4	01.10.2017
Клиент-62	Арт15	5	18.11.2017
Клиент-3	Арт13	1	29.10.2017
Клиент-185	Арт4	10	19.10.2017
Клиент-48	Арт18	4	31.05.2017
Клиент-174	Арт6	3	18.10.2017
Клиент-177	Арт20	3	11.03.2017
Клиент-183	Арт20	9	14.08.2017
Клиент-87	Арт26	1	17.02.2018
Клиент-142	Арт16	7	08.03.2018
Клиент-85	Арт6	6	23.05.2017
Клиент-48	Арт14	9	01.04.2017
Клиент-67	Арт21	9	17.04.2018
Клиент-87	Арт4	3	18.11.2017
Клиент-43	Арт7	5	13.11.2017
Клиент-156	Арт19	3	27.01.2017
Клиент-36	Арт9	5	16.07.2017
Клиент-135	Арт4	2	27.06.2017
Клиент-106	Арт2	4	25.04.2017
Клиент-119	Арт2	2	30.05.2017
Клиент-113	Арт13	10	19.03.2017
Клиент-19	Арт22	7	17.03.2017
Клиент-121	Арт5	2	26.05.2018
Клиент-112	Арт9	9	12.08.2018
Клиент-151	Арт20	8	16.02.2017
Клиент-109	Арт3	4	11.01.2018
Клиент-175	Арт26	2	28.04.2018
Клиент-173	Арт5	8	13.06.2018
Клиент-28	Арт6	4	06.12.2017
Клиент-179	Арт18	10	23.09.2018
Клиент-54	Арт25	3	08.12.2017
Клиент-134	Арт18	1	02.12.2017
Клиент-13	Арт6	2	14.09.2018
Клиент-165	Арт10	10	25.11.2017
Клиент-25	Арт18	9	26.06.2017
Клиент-69	Арт21	4	05.03.2017
Клиент-32	Арт8	6	19.09.2017
Клиент-46	Арт12	4	03.08.2017
Клиент-190	Арт25	9	10.02.2017
Клиент-138	Арт11	6	07.03.2017
Клиент-60	Арт24	3	29.08.2017
Клиент-88	Арт3	9	26.02.2018
Клиент-172	Арт10	2	03.03.2017
Клиент-171	Арт21	3	21.10.2017
Клиент-136	Арт18	1	22.01.2017
Клиент-144	Арт12	6	26.08.2018
Клиент-109	Арт10	7	20.05.2017
Клиент-47	Арт19	6	20.08.2017
Клиент-159	Арт23	9	28.11.2017
Клиент-24	Арт18	1	07.05.2018
Клиент-174	Арт22	8	27.02.2018
Клиент-132	Арт16	7	17.11.2017
Клиент-148	Арт9	5	02.08.2017
Клиент-13	Арт10	5	25.02.2017
Клиент-154	Арт23	9	14.10.2017
Клиент-150	Арт25	5	27.08.2017
Клиент-150	Арт1	9	19.05.2018
Клиент-99	Арт16	10	04.08.2017
Клиент-79	Арт26	8	30.12.2017
Клиент-97	Арт4	5	27.08.2018
Клиент-142	Арт18	4	27.08.2017
Клиент-77	Арт22	9	27.06.2017
Клиент-44	Арт13	9	05.11.2017
Клиент-147	Арт2	1	17.11.2017
Клиент-188	Арт6	9	05.04.2018
Клиент-33	Арт19	8	05.08.2017
Клиент-128	Арт1	4	03.01.2018
Клиент-131	Арт1	10	19.02.2018
Клиент-98	Арт5	6	09.01.2018
Клиент-147	Арт6	9	10.01.2018
Клиент-151	Арт2	9	17.01.2018
Клиент-164	Арт17	4	29.12.2017
Клиент-177	Арт1	1	24.05.2017
Клиент-38	Арт6	8	17.12.2017
Клиент-132	Арт2	5	22.08.2018
Клиент-114	Арт10	8	28.04.2017
Клиент-55	Арт23	6	11.08.2018
Клиент-133	Арт23	3	04.03.2017
Клиент-106	Арт17	5	08.09.2017
Клиент-14	Арт24	4	30.01.2017
Клиент-54	Арт8	5	04.08.2017
Клиент-137	Арт19	3	29.04.2017
Клиент-82	Арт25	6	08.03.2017
Клиент-164	Арт2	4	19.10.2017
Клиент-40	Арт24	8	08.01.2018
Клиент-93	Арт11	10	08.05.2018
Клиент-37	Арт24	4	12.07.2018
Клиент-172	Арт9	4	23.11.2017
Клиент-41	Арт8	10	19.03.2018
Клиент-64	Арт2	2	14.06.2018
Клиент-57	Арт6	3	03.08.2017
Клиент-149	Арт13	1	05.11.2017
Клиент-196	Арт12	5	12.05.2017
Клиент-200	Арт26	6	27.05.2017
Клиент-191	Арт17	7	20.07.2018
Клиент-101	Арт1	10	16.09.2017
Клиент-119	Арт4	7	03.04.2018
Клиент-36	Арт25	8	24.08.2017
Клиент-88	Арт16	4	15.04.2018
Клиент-30	Арт19	4	11.08.2017
Клиент-90	Арт15	9	14.12.2017
Клиент-173	Арт9	7	12.08.2017
Клиент-140	Арт9	6	09.06.2017
Клиент-40	Арт8	7	03.08.2018
Клиент-96	Арт8	8	19.07.2017
Клиент-57	Арт16	4	29.05.2018
Клиент-145	Арт16	2	14.05.2018
Клиент-66	Арт1	4	05.07.2018
Клиент-149	Арт15	8	09.01.2018
Клиент-13	Арт1	5	09.07.2018
Клиент-195	Арт15	2	31.12.2017
Клиент-1	Арт1	7	16.01.2018
Клиент-29	Арт26	6	19.09.2017
Клиент-198	Арт7	5	02.02.2018
Клиент-38	Арт21	3	11.12.2017
Клиент-6	Арт19	2	20.01.2018
Клиент-162	Арт7	10	27.01.2017
Клиент-22	Арт24	10	08.04.2017
Клиент-179	Арт14	5	12.11.2017
Клиент-62	Арт24	5	01.10.2017
Клиент-30	Арт18	6	28.06.2017
Клиент-146	Арт11	8	22.05.2017
Клиент-59	Арт20	8	17.09.2018
Клиент-112	Арт7	4	20.03.2018
Клиент-175	Арт1	4	23.12.2017
Клиент-91	Арт9	9	29.12.2017
Клиент-195	Арт16	10	06.02.2018
Клиент-157	Арт16	5	23.04.2017
Клиент-1	Арт23	9	30.08.2017
Клиент-32	Арт25	10	29.05.2017
Клиент-128	Арт8	6	19.09.2018
Клиент-136	Арт16	9	19.06.2017
Клиент-101	Арт25	3	30.08.2017
Клиент-101	Арт6	8	19.09.2018
Клиент-47	Арт25	7	23.03.2017
Клиент-166	Арт18	10	13.06.2017
Клиент-134	Арт26	1	05.05.2017
Клиент-154	Арт17	8	24.11.2017
Клиент-79	Арт23	8	10.10.2017
Клиент-131	Арт9	5	21.07.2018
Клиент-174	Арт19	7	07.08.2017
Клиент-45	Арт22	10	11.04.2018
Клиент-106	Арт13	2	07.10.2017
Клиент-18	Арт5	10	19.10.2017
Клиент-71	Арт24	9	27.02.2017
Клиент-174	Арт25	7	06.03.2018
Клиент-177	Арт23	2	18.01.2018
Клиент-3	Арт18	10	31.05.2018
Клиент-5	Арт14	8	28.06.2017
Клиент-93	Арт2	4	05.03.2018
Клиент-170	Арт13	4	23.08.2017
Клиент-151	Арт16	8	07.02.2017
Клиент-104	Арт25	9	25.02.2018
Клиент-25	Арт26	5	04.11.2017
Клиент-83	Арт17	6	11.08.2017
Клиент-15	Арт17	7	07.09.2018
Клиент-180	Арт13	4	01.05.2018
Клиент-108	Арт11	4	18.08.2017
Клиент-150	Арт7	1	04.01.2018
Клиент-96	Арт17	4	29.09.2018
Клиент-37	Арт9	2	21.05.2017
Клиент-97	Арт15	9	12.03.2017
Клиент-98	Арт6	7	15.05.2018
Клиент-181	Арт14	8	27.01.2017
Клиент-31	Арт2	7	29.06.2017
Клиент-74	Арт23	7	15.09.2018
Клиент-81	Арт16	2	03.06.2017
Клиент-136	Арт7	10	03.06.2017
Клиент-109	Арт24	1	11.05.2018
Клиент-49	Арт12	7	17.05.2017
Клиент-32	Арт2	10	20.11.2017
Клиент-42	Арт23	2	10.01.2017
Клиент-27	Арт23	3	28.09.2017
Клиент-121	Арт18	1	10.05.2018
Клиент-181	Арт4	2	23.06.2018
Клиент-14	Арт18	4	21.12.2017
Клиент-54	Арт10	1	15.01.2018
Клиент-116	Арт17	7	02.04.2017
Клиент-138	Арт2	9	17.08.2017
Клиент-56	Арт25	6	19.07.2018
Клиент-158	Арт20	6	29.04.2018
Клиент-198	Арт25	10	15.11.2017
Клиент-34	Арт21	6	04.04.2018
Клиент-27	Арт1	5	21.07.2017
Клиент-185	Арт15	3	02.06.2018
Клиент-24	Арт16	9	15.03.2018
Клиент-21	Арт5	9	13.08.2017
Клиент-147	Арт14	6	12.08.2018
Клиент-172	Арт20	3	11.01.2018
Клиент-88	Арт14	3	11.11.2017
Клиент-113	Арт24	3	16.12.2017
Клиент-34	Арт1	7	03.09.2017
Клиент-127	Арт3	8	14.11.2017
Клиент-115	Арт4	5	04.10.2017
Клиент-195	Арт11	9	14.01.2018
Клиент-68	Арт12	3	05.05.2018
Клиент-15	Арт14	1	11.05.2018
Клиент-67	Арт26	10	10.11.2017
Клиент-49	Арт6	8	18.02.2017
Клиент-40	Арт4	7	29.03.2018
Клиент-52	Арт23	1	18.01.2018
Клиент-36	Арт18	2	28.04.2017
Клиент-17	Арт5	1	23.08.2017
Клиент-62	Арт20	3	30.09.2017
Клиент-55	Арт25	6	25.06.2017
Клиент-112	Арт5	1	11.04.2017
Клиент-149	Арт12	7	01.07.2017
Клиент-169	Арт16	4	14.08.2017
Клиент-19	Арт20	6	27.03.2018
Клиент-136	Арт19	2	07.10.2017
Клиент-47	Арт12	7	09.07.2018
Клиент-6	Арт8	4	21.01.2018
Клиент-103	Арт26	6	15.07.2017
Клиент-74	Арт18	4	05.05.2017
Клиент-9	Арт3	6	27.04.2017
Клиент-150	Арт17	8	30.07.2018
Клиент-27	Арт5	3	29.05.2018
Клиент-79	Арт21	6	27.08.2018
Клиент-124	Арт25	2	03.03.2017
Клиент-33	Арт4	7	06.04.2017
Клиент-7	Арт2	9	19.10.2017
Клиент-28	Арт23	6	08.10.2017
Клиент-99	Арт4	1	21.06.2017
Клиент-139	Арт6	4	10.03.2018
Клиент-30	Арт18	10	22.01.2017
Клиент-106	Арт23	5	27.03.2018
Клиент-81	Арт26	7	11.05.2018
Клиент-188	Арт6	3	03.06.2017
Клиент-143	Арт20	2	26.04.2018
Клиент-148	Арт13	3	23.05.2017
Клиент-52	Арт9	6	31.12.2017
Клиент-9	Арт20	4	27.03.2018
Клиент-32	Арт8	5	22.07.2018
Клиент-119	Арт11	1	13.03.2018
Клиент-43	Арт26	9	18.05.2017
Клиент-58	Арт6	8	01.07.2017
Клиент-80	Арт22	4	24.02.2018
Клиент-191	Арт21	9	22.03.2018
Клиент-163	Арт20	10	09.05.2017
Клиент-9	Арт10	6	04.02.2018
Клиент-190	Арт20	8	30.04.2017
Клиент-99	Арт9	6	22.03.2018
Клиент-193	Арт24	9	17.02.2017
Клиент-59	Арт11	9	14.07.2018
Клиент-129	Арт9	6	26.05.2017
Клиент-17	Арт11	6	11.09.2017
Клиент-37	Арт24	6	08.07.2018
Клиент-77	Арт26	2	16.05.2017
Клиент-30	Арт2	10	30.08.2018
Клиент-43	Арт1	6	26.05.2018
Клиент-6	Арт15	7	05.04.2017
Клиент-44	Арт13	10	10.08.2017
Клиент-34	Арт9	3	10.05.2017
Клиент-180	Арт16	1	29.12.2017
Клиент-133	Арт22	7	06.06.2018
Клиент-168	Арт10	8	11.06.2017
Клиент-12	Арт21	3	29.05.2017
Клиент-162	Арт19	9	10.02.2018
Клиент-60	Арт4	2	24.02.2017
Клиент-134	Арт22	8	30.09.2018
Клиент-84	Арт17	10	12.05.2018
Клиент-199	Арт13	8	30.06.2018
Клиент-36	Арт20	7	30.10.2017
Клиент-7	Арт19	10	23.04.2017
Клиент-101	Арт23	3	11.08.2017
Клиент-123	Арт23	4	01.12.2017
Клиент-137	Арт26	2	23.03.2018
Клиент-103	Арт13	2	27.05.2017
Клиент-118	Арт16	6	14.03.2018
Клиент-168	Арт12	9	15.08.2017
Клиент-113	Арт7	9	13.05.2017
Клиент-182	Арт22	9	12.07.2017
Клиент-179	Арт15	3	19.08.2018
Клиент-151	Арт21	3	13.10.2017
Клиент-183	Арт23	6	28.03.2017
Клиент-119	Арт12	3	19.07.2017
Клиент-142	Арт11	6	22.02.2018
Клиент-46	Арт23	3	07.03.2018
Клиент-43	Арт14	5	01.07.2018
Клиент-109	Арт18	3	25.01.2017
Клиент-147	Арт15	7	03.04.2017
Клиент-52	Арт4	5	04.06.2017
Клиент-147	Арт21	7	12.12.2017
Клиент-85	Арт18	8	26.02.2017
Клиент-118	Арт5	2	18.04.2018
Клиент-104	Арт5	5	18.02.2018
Клиент-166	Арт23	2	15.10.2017
Клиент-141	Арт12	10	10.10.2017
Клиент-125	Арт18	1	30.09.2018
Клиент-150	Арт9	7	27.10.2017
Клиент-102	Арт13	10	27.06.2017
Клиент-27	Арт5	7	13.05.2017
Клиент-24	Арт7	10	06.02.2017
Клиент-76	Арт26	5	11.12.2017
Клиент-160	Арт5	7	23.08.2018
Клиент-135	Арт20	7	24.04.2018
Клиент-164	Арт23	1	20.05.2017
Клиент-141	Арт3	4	06.08.2017
Клиент-196	Арт2	1	19.07.2018
Клиент-71	Арт26	9	16.04.2017
Клиент-121	Арт3	5	30.10.2017
Клиент-80	Арт14	4	16.08.2017
Клиент-9	Арт14	8	11.10.2017
Клиент-39	Арт26	3	23.06.2017
Клиент-9	Арт2	9	27.09.2017
Клиент-64	Арт8	8	18.06.2018
Клиент-189	Арт10	8	03.11.2017
Клиент-22	Арт18	8	24.01.2018
Клиент-147	Арт3	8	04.06.2018
Клиент-78	Арт2	7	03.07.2017
Клиент-165	Арт7	5	19.01.2017
Клиент-153	Арт12	6	15.03.2017
Клиент-24	Арт13	2	07.02.2017
Клиент-35	Арт19	2	22.08.2018
Клиент-62	Арт12	7	19.06.2018
Клиент-77	Арт12	5	06.06.2017
Клиент-158	Арт10	9	17.07.2017
Клиент-14	Арт11	3	21.03.2018
Клиент-132	Арт7	1	28.09.2017
Клиент-77	Арт13	4	03.08.2017
Клиент-97	Арт1	10	08.06.2017
Клиент-27	Арт8	5	03.06.2018
Клиент-54	Арт9	2	23.05.2017
Клиент-31	Арт20	8	18.07.2018
Клиент-30	Арт5	9	14.02.2017
Клиент-129	Арт12	7	30.06.2018
Клиент-96	Арт6	4	03.03.2017
Клиент-156	Арт17	4	24.05.2018
Клиент-26	Арт13	4	12.05.2018
Клиент-120	Арт13	8	20.01.2017
Клиент-23	Арт7	6	03.12.2017
Клиент-2	Арт17	7	24.10.2017
Клиент-38	Арт1	4	31.08.2017
Клиент-81	Арт18	1	15.06.2017
Клиент-21	Арт3	6	30.10.2017
Клиент-90	Арт9	2	23.03.2017
Клиент-139	Арт3	4	11.01.2018
Клиент-2	Арт3	3	26.07.2017
Клиент-108	Арт14	10	17.04.2017
Клиент-79	Арт4	9	15.09.2017
Клиент-142	Арт2	3	28.03.2018
Клиент-130	Арт22	6	03.09.2017
Клиент-79	Арт2	2	11.01.2018
Клиент-139	Арт7	3	16.08.2018
Клиент-96	Арт6	6	17.02.2017
Клиент-53	Арт23	2	04.01.2017
Клиент-168	Арт3	4	16.02.2018
Клиент-83	Арт6	3	10.07.2017
Клиент-86	Арт5	4	13.04.2017
Клиент-48	Арт8	4	16.09.2017
Клиент-66	Арт6	1	11.07.2018
Клиент-31	Арт20	8	10.11.2017
Клиент-192	Арт9	5	17.03.2018
Клиент-88	Арт9	7	10.04.2018
Клиент-126	Арт21	5	14.05.2018
Клиент-32	Арт14	3	18.06.2018
Клиент-60	Арт11	3	03.04.2017
Клиент-13	Арт12	8	16.08.2018
Клиент-32	Арт3	10	12.08.2018
Клиент-128	Арт8	2	25.11.2017
Клиент-132	Арт10	5	26.03.2017
Клиент-86	Арт1	10	04.02.2017
Клиент-36	Арт11	8	06.02.2017
Клиент-182	Арт7	4	08.11.2017
Клиент-71	Арт2	2	24.03.2018
Клиент-36	Арт19	5	04.01.2018
Клиент-107	Арт16	7	28.03.2017
Клиент-26	Арт24	5	28.08.2017
Клиент-173	Арт11	10	08.02.2017
Клиент-136	Арт20	6	10.09.2017
Клиент-183	Арт16	6	02.10.2017
Клиент-167	Арт7	9	09.08.2017
Клиент-37	Арт18	3	14.07.2017
Клиент-131	Арт3	8	04.06.2018
Клиент-95	Арт10	9	25.06.2018
Клиент-35	Арт9	5	19.06.2018
Клиент-94	Арт21	6	30.07.2017
Клиент-159	Арт11	6	02.05.2018
Клиент-198	Арт10	7	08.02.2018
Клиент-33	Арт11	3	05.07.2017
Клиент-176	Арт5	10	01.02.2017
Клиент-1	Арт24	3	29.09.2017
Клиент-148	Арт5	7	09.12.2017
Клиент-28	Арт1	10	22.06.2018
Клиент-112	Арт8	4	08.08.2018
Клиент-66	Арт13	7	06.03.2017
Клиент-32	Арт11	9	04.05.2017
Клиент-188	Арт16	2	13.07.2018
Клиент-145	Арт21	3	14.05.2018
Клиент-75	Арт14	6	13.03.2017
Клиент-100	Арт21	6	05.05.2018
Клиент-23	Арт24	2	28.09.2017
Клиент-133	Арт8	10	04.01.2017
Клиент-104	Арт9	3	01.10.2017
Клиент-39	Арт9	4	30.08.2018
Клиент-192	Арт17	10	02.05.2018
Клиент-177	Арт24	2	07.05.2017
Клиент-61	Арт26	6	31.07.2018
Клиент-199	Арт15	6	15.06.2017
Клиент-144	Арт3	5	24.02.2017
Клиент-194	Арт26	6	09.03.2017
Клиент-129	Арт15	8	27.01.2017
Клиент-79	Арт3	9	09.03.2017
Клиент-188	Арт22	6	09.06.2018
Клиент-6	Арт22	5	08.12.2017
Клиент-3	Арт25	10	09.04.2017
Клиент-123	Арт19	4	12.09.2017
Клиент-107	Арт17	3	01.09.2017
Клиент-62	Арт20	7	06.05.2017
Клиент-115	Арт26	10	15.04.2017
Клиент-64	Арт2	10	12.09.2018
Клиент-127	Арт21	9	22.04.2018
Клиент-153	Арт12	9	26.04.2018
Клиент-191	Арт18	6	18.06.2018
Клиент-74	Арт20	2	10.02.2017
Клиент-117	Арт11	8	04.02.2018
Клиент-127	Арт16	2	24.11.2017
Клиент-69	Арт3	10	18.10.2017
Клиент-191	Арт6	2	17.05.2018
Клиент-75	Арт10	1	16.07.2018
Клиент-3	Арт16	6	09.03.2017
Клиент-29	Арт9	7	06.03.2017
Клиент-129	Арт12	8	19.08.2018
Клиент-17	Арт11	10	29.05.2018
Клиент-36	Арт4	9	13.12.2017
Клиент-65	Арт19	5	30.07.2018
Клиент-48	Арт16	10	29.04.2017
Клиент-70	Арт15	5	26.07.2018
Клиент-135	Арт9	10	09.02.2017
Клиент-69	Арт12	10	17.04.2017
Клиент-164	Арт21	7	21.09.2018
Клиент-16	Арт13	6	16.01.2018
Клиент-72	Арт13	7	14.01.2017
Клиент-58	Арт3	5	26.04.2018
Клиент-90	Арт9	10	22.06.2017
Клиент-179	Арт13	7	20.10.2017
Клиент-5	Арт7	4	01.06.2018
Клиент-195	Арт9	3	10.01.2018
Клиент-70	Арт26	3	30.06.2018
Клиент-60	Арт4	3	07.09.2018
Клиент-164	Арт9	10	08.09.2018
Клиент-107	Арт15	3	26.05.2017
Клиент-88	Арт24	7	02.06.2017
Клиент-187	Арт8	1	24.09.2017
Клиент-117	Арт18	5	03.06.2018
Клиент-81	Арт20	5	10.09.2017
Клиент-179	Арт13	4	17.05.2018
Клиент-175	Арт20	9	25.01.2017
Клиент-4	Арт8	7	12.04.2017
Клиент-176	Арт15	10	25.07.2017
Клиент-23	Арт15	2	10.07.2018
Клиент-200	Арт15	7	05.06.2017
Клиент-116	Арт24	10	29.11.2017
Клиент-136	Арт18	6	23.05.2018
Клиент-119	Арт18	3	24.06.2017
Клиент-50	Арт3	2	29.06.2017
Клиент-10	Арт24	6	27.05.2017
Клиент-96	Арт2	8	30.07.2017
Клиент-32	Арт23	3	07.10.2017
Клиент-93	Арт25	9	16.10.2017
Клиент-163	Арт15	10	06.09.2017
Клиент-71	Арт22	9	08.02.2017
Клиент-94	Арт13	6	14.03.2018
Клиент-69	Арт20	3	02.02.2018
Клиент-184	Арт2	9	11.02.2018
Клиент-125	Арт20	1	30.05.2018
Клиент-68	Арт11	1	27.09.2018
Клиент-192	Арт5	9	24.04.2017
Клиент-181	Арт10	6	23.09.2018
Клиент-16	Арт3	2	03.10.2017
Клиент-68	Арт3	5	09.04.2018
Клиент-172	Арт9	1	07.04.2018
Клиент-179	Арт11	3	16.06.2017
Клиент-124	Арт2	2	12.04.2018
Клиент-160	Арт20	5	14.01.2018
Клиент-25	Арт8	6	23.08.2017
Клиент-199	Арт6	5	28.03.2018
Клиент-6	Арт8	9	16.01.2018
Клиент-90	Арт25	6	18.12.2017
Клиент-163	Арт18	8	06.04.2018
Клиент-197	Арт24	6	29.04.2018
Клиент-81	Арт3	8	30.09.2017
Клиент-131	Арт3	1	05.04.2017
Клиент-63	Арт21	4	11.08.2018
Клиент-58	Арт21	9	04.05.2017
Клиент-149	Арт8	10	22.01.2018
Клиент-190	Арт6	1	04.09.2017
Клиент-159	Арт3	5	10.08.2017
Клиент-135	Арт19	4	20.09.2017
Клиент-83	Арт26	6	09.01.2018
Клиент-152	Арт6	7	02.03.2018
Клиент-120	Арт17	9	14.09.2018
Клиент-108	Арт7	5	12.07.2018
Клиент-171	Арт15	7	15.06.2018
Клиент-68	Арт21	4	22.05.2018
Клиент-111	Арт25	9	09.05.2017
Клиент-131	Арт9	8	12.06.2017
Клиент-83	Арт20	8	15.02.2017
Клиент-69	Арт18	7	21.11.2017
Клиент-148	Арт23	3	08.06.2017
Клиент-13	Арт17	5	28.05.2017
Клиент-86	Арт17	4	21.02.2018
Клиент-125	Арт5	6	29.04.2018
Клиент-161	Арт23	10	19.06.2017
Клиент-44	Арт7	9	24.06.2018
Клиент-102	Арт20	1	18.10.2017
Клиент-188	Арт2	2	31.03.2018
Клиент-9	Арт2	3	03.08.2018
Клиент-163	Арт10	8	28.08.2018
Клиент-196	Арт26	10	01.08.2018
Клиент-74	Арт10	10	23.08.2017
Клиент-18	Арт12	7	08.02.2018
Клиент-122	Арт20	2	31.08.2018
Клиент-94	Арт26	3	06.05.2017
Клиент-184	Арт15	2	27.09.2017
Клиент-126	Арт12	4	02.05.2017
Клиент-30	Арт2	6	09.05.2018
Клиент-141	Арт8	2	05.02.2017
Клиент-61	Арт14	6	25.02.2017
Клиент-167	Арт12	2	02.10.2017
